City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Avera,US,33.194,-82.5271,77.68,80,63,7.27,broken clouds
80,East London,ZA,-33.0153,27.9116,55.26,75,65,6.73,broken clouds
81,Hithadhoo,MV,-0.6,73.0833,83.93,71,100,17.56,overcast clouds
82,Quatre Cocos,MU,-20.2078,57.7625,73.51,77,22,16.26,light rain
83,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,78,90,14.81,overcast clouds
84,New Norfolk,AU,-42.7826,147.0587,49.71,54,35,3.0,scattered clouds
85,Georgetown,MY,5.4112,100.3354,85.95,81,20,3.44,few clouds
86,Saint Anthony,US,45.0205,-93.218,84.52,42,1,8.72,clear sky
87,Novoagansk,RU,61.9449,76.6625,44.01,53,7,11.83,clear sky
88,Codajas,BR,-3.8367,-62.0569,76.28,85,71,2.62,light rain
89,Tuatapere,NZ,-46.1333,167.6833,55.45,73,68,8.3,broken clouds
90,Sao Filipe,CV,14.8961,-24.4956,73.04,80,23,13.53,few clouds
91,Vao,NC,-22.6667,167.4833,71.06,79,98,16.98,overcast clouds
92,Prado,BR,-17.3411,-39.2208,73.49,85,100,6.13,overcast clouds
93,Asau,RO,46.4333,26.4,47.77,91,25,5.17,scattered clouds
94,Arraial Do Cabo,BR,-22.9661,-42.0278,73.65,82,0,0.74,clear sky
95,Cidreira,BR,-30.1811,-50.2056,60.85,89,2,13.47,clear sky
96,Pinega,RU,64.7001,43.3936,58.1,57,61,4.92,broken clouds
97,Ponta Do Sol,PT,32.6667,-17.1,65.03,61,28,7.56,scattered clouds
98,Three Hills,CA,51.7001,-113.2686,84.69,30,60,20.71,broken clouds
99,Albany,US,42.6001,-73.9662,69.1,89,100,4.43,light rain
100,Atuona,PF,-9.8,-139.0333,79.88,79,25,18.03,light rain
101,Polunochnoye,RU,60.8697,60.4153,45.64,49,0,2.26,clear sky
102,Saskylakh,RU,71.9167,114.0833,34.63,97,100,8.03,light rain
103,Atocha,BO,-20.9333,-66.2333,40.33,18,8,3.22,clear sky
104,Katsuura,JP,35.1333,140.3,71.71,92,100,27.98,moderate rain
105,Hilo,US,19.7297,-155.09,84.27,70,1,10.36,clear sky
106,Sitka,US,57.0531,-135.33,49.89,81,90,5.75,light rain
107,Carnarvon,AU,-24.8667,113.6333,59.07,77,0,13.8,clear sky
108,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,75,16.51,broken clouds
109,Sobolevo,RU,54.4299,31.8996,52.83,79,95,6.6,light rain
110,Sorland,NO,67.667,12.6934,50.32,79,0,8.61,clear sky
111,Pisco,PE,-13.7,-76.2167,62.65,82,20,8.05,few clouds
112,Saint-Francois,FR,46.4154,3.9054,62.19,96,0,1.14,clear sky
113,Fairbanks,US,64.8378,-147.7164,71.6,30,75,12.66,broken clouds
114,Nanortalik,GL,60.1432,-45.2371,35.19,86,51,11.16,broken clouds
115,Hualmay,PE,-11.0964,-77.6139,63.91,84,45,6.4,scattered clouds
116,Shakawe,BW,-18.3667,21.85,44.73,52,0,4.29,clear sky
117,The Pas,CA,53.8251,-101.2541,69.82,64,40,8.86,scattered clouds
118,Billings,US,45.7833,-108.5007,98.37,11,20,9.22,few clouds
119,Brokopondo,SR,4.75,-55.1667,76.8,89,99,9.33,moderate rain
120,Tilichiki,RU,60.4667,166.1,53.65,52,34,15.61,scattered clouds
121,Vestmannaeyjar,IS,63.4427,-20.2734,48.7,83,100,30.47,light rain
122,Kodiak,US,57.79,-152.4072,51.31,71,90,13.8,overcast clouds
123,Ptuj,SI,46.4201,15.8702,58.73,94,8,2.06,clear sky
124,Tuktoyaktuk,CA,69.4541,-133.0374,41.0,81,90,14.97,overcast clouds
125,Juneau,US,58.3019,-134.4197,49.21,93,90,1.99,moderate rain
126,Batagay-Alyta,RU,67.8006,130.4114,74.86,24,100,18.7,overcast clouds
127,Manggar,ID,-2.8833,108.2667,85.87,64,58,12.88,broken clouds
128,Petionville,HT,18.5125,-72.2853,80.29,58,7,11.5,clear sky
