City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hobart,AU,2021-05-24 22:53:05,-42.8794,147.3294,59.22,83,75,1.99
68,Hilo,US,2021-05-24 22:52:41,19.7297,-155.09,83.8,75,1,18.41
69,Shellbrook,CA,2021-05-24 22:55:52,53.2168,-106.4011,54.63,91,100,16.02
70,Homer,US,2021-05-24 22:55:52,59.6425,-151.5483,68.07,41,0,1.72
71,Rodino,RU,2021-05-24 22:55:52,52.5,80.25,59.77,73,47,2.55
72,East London,ZA,2021-05-24 22:54:51,-33.0153,27.9116,75.6,36,100,9.95
73,Qasigiannguit,GL,2021-05-24 22:55:53,68.8193,-51.1922,42.44,40,100,27.2
74,Georgetown,MY,2021-05-24 22:54:54,5.4112,100.3354,80.89,88,20,3.0
75,Milyutinskaya,RU,2021-05-24 22:55:53,48.6279,41.6679,61.65,88,99,2.57
76,Kirakira,SB,2021-05-24 22:55:54,-10.4544,161.9205,80.71,83,100,9.62
77,San Cristobal,VE,2021-05-24 22:55:24,7.7669,-72.225,73.58,98,100,3.42
78,Miles City,US,2021-05-24 22:55:54,46.4083,-105.8406,73.51,29,93,29.12
79,Ribeira Grande,PT,2021-05-24 22:55:54,38.5167,-28.7,62.82,74,100,19.1
80,Hami,CN,2021-05-24 22:54:50,42.8,93.45,68.0,18,0,2.01
81,Asau,RO,2021-05-24 22:55:55,46.4333,26.4,53.4,91,89,2.26
82,Presidente Medici,BR,2021-05-24 22:55:55,-11.1753,-61.9014,71.76,94,99,3.98
83,Upernavik,GL,2021-05-24 22:52:56,72.7868,-56.1549,32.02,80,83,8.95
84,Waingapu,ID,2021-05-24 22:55:56,-9.6567,120.2641,75.74,83,37,5.01
85,Matay,EG,2021-05-24 22:55:56,28.419,30.7792,76.32,28,0,11.39
86,Nioro,GM,2021-05-24 22:55:56,13.35,-15.75,82.15,45,47,10.07
87,Bonthe,SL,2021-05-24 22:54:05,7.5264,-12.505,81.34,85,41,6.49
88,Vila Franca Do Campo,PT,2021-05-24 22:55:57,37.7167,-25.4333,63.01,79,100,6.78
89,Bathurst,AU,2021-05-24 22:55:57,-33.4166,149.5806,54.84,81,54,2.89
90,Greer,US,2021-05-24 22:54:17,34.9387,-82.2271,88.68,65,62,2.48
91,Nanortalik,GL,2021-05-24 22:55:57,60.1432,-45.2371,35.1,98,100,3.58
92,Ca Mau,VN,2021-05-24 22:54:25,9.1769,105.15,76.8,90,100,4.72
93,Tuktoyaktuk,CA,2021-05-24 22:54:14,69.4541,-133.0374,32.0,93,90,8.05
94,Coffs Harbour,AU,2021-05-24 22:55:58,-30.3,153.1333,62.56,82,90,5.75
95,Port Alfred,ZA,2021-05-24 22:54:01,-33.5906,26.891,71.85,45,100,10.98
96,Kamenka,RU,2021-05-24 22:55:58,51.3223,42.7678,56.64,88,100,6.11
97,Tasiilaq,GL,2021-05-24 22:55:59,65.6145,-37.6368,32.81,90,100,33.87
98,Kumluca,TR,2021-05-24 22:55:59,36.3703,30.2869,76.73,35,1,6.87
99,Verkhniy Avzyan,RU,2021-05-24 22:55:59,53.5289,57.5372,60.73,57,1,3.18
100,Northam,GB,2021-05-24 22:55:59,51.0333,-4.2167,50.67,87,7,16.8
101,Mengcheng,CN,2021-05-24 22:56:00,33.2579,116.5655,69.28,41,98,5.19
102,Ilulissat,GL,2021-05-24 22:52:32,69.2167,-51.1,41.22,47,100,17.16
103,Malinyi,TZ,2021-05-24 22:56:00,-8.9333,36.1333,64.54,78,28,2.75
104,Demba,CD,2021-05-24 22:56:00,-5.51,22.2667,67.84,59,6,2.57
105,Hermanus,ZA,2021-05-24 22:51:24,-34.4187,19.2345,60.91,79,43,4.97
106,Souillac,MU,2021-05-24 22:53:49,-20.5167,57.5167,71.98,81,75,11.68
107,Lasa,IT,2021-05-24 22:56:01,46.6166,10.7002,48.94,100,100,0.76
108,Lagoa,PT,2021-05-24 22:56:01,39.05,-27.9833,61.88,72,100,15.39
109,Praia Da Vitoria,PT,2021-05-24 22:56:02,38.7333,-27.0667,63.75,72,40,15.12
110,Yar-Sale,RU,2021-05-24 22:56:02,66.8333,70.8333,32.77,60,81,4.45
111,Sao Felix Do Xingu,BR,2021-05-24 22:54:15,-6.6447,-51.995,75.63,78,8,2.91
112,Airai,TL,2021-05-24 22:51:58,-8.9266,125.4092,61.86,83,12,3.02
113,Ontario,US,2021-05-24 22:56:03,34.0633,-117.6509,96.03,20,1,7.0
114,Coihaique,CL,2021-05-24 22:54:59,-45.5752,-72.0662,41.61,75,75,3.44
115,Kenai,US,2021-05-24 22:56:03,60.5544,-151.2583,68.02,48,0,7.34
